"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests that action set-password outputs resets the password on app data and mongod.","22729","test_set_password_action","tests.integration","Sat Feb 22 01:38:35 UTC 2025","passed","Sat Feb 22 01:38:58 UTC 2025","","test_charm","",""
"Tests that sharded cluster can successfully create and list backups.","552297","test_rotate_backup_password","tests.integration.sharding_tests","Sat Feb 22 01:37:03 UTC 2025","passed","Sat Feb 22 01:46:16 UTC 2025","","test_sharding_backups","",""
"Tests that the cluster can be integrated with TLS.","870714","test_tls_then_build_cluster","tests.integration.sharding_tests","Sat Feb 22 01:55:44 UTC 2025","passed","Sat Feb 22 02:10:15 UTC 2025","","test_sharding_tls","",""
"Test basic functionality of database relation interface.","106858","test_database_relation_with_charm_libraries","tests.integration.relation_tests.new_relations","Sat Feb 22 01:31:17 UTC 2025","passed","Sat Feb 22 01:33:04 UTC 2025","","test_charm_relations","",""
"Verify that the sharded cluster can be safely upgraded without losing writes.","1768410","test_upgrade","tests.integration.upgrade","Sat Feb 22 01:42:54 UTC 2025","broken","Sat Feb 22 02:12:23 UTC 2025","","test_sharding_upgrade","",""
"Verifies connecting a replica to a mongos router fails.","25432","test_replication_mongos_relation","tests.integration.sharding_tests","Sat Feb 22 01:34:00 UTC 2025","passed","Sat Feb 22 01:34:26 UTC 2025","","test_sharding_relations","",""
"Verifies that the preflight check can run successfully.","27375","test_preflight_check_failure","tests.integration.upgrade","Sat Feb 22 01:46:08 UTC 2025","passed","Sat Feb 22 01:46:35 UTC 2025","","test_upgrade","",""
"Verify that the pre-upgrade check fails if there is a problem with one of the shards.","0","test_pre_upgrade_check_failure","tests.integration.upgrade","Sat Feb 22 02:12:31 UTC 2025","skipped","Sat Feb 22 02:12:31 UTC 2025","","test_sharding_upgrade","",""
"Build and deploy a sharded cluster.","193869","test_build_and_deploy","tests.integration.sharding_tests","Sat Feb 22 01:28:33 UTC 2025","passed","Sat Feb 22 01:31:47 UTC 2025","","test_sharding_backups","",""
"Test verifies that only the leader can set a password, while all units can read it.","18588","test_only_leader_can_set_while_all_can_read_password_secret","tests.integration","Sat Feb 22 01:39:03 UTC 2025","passed","Sat Feb 22 01:39:22 UTC 2025","","test_charm","",""
"Tests that sharded Charmed MongoDB cluster supports restores.","887662","test_restore_backup","tests.integration.sharding_tests","Sat Feb 22 01:46:42 UTC 2025","passed","Sat Feb 22 02:01:30 UTC 2025","","test_sharding_backups","",""
"Deploy both charms (application and database) to use in the tests.","129336","test_deploy_charms","tests.integration.relation_tests.new_relations","Sat Feb 22 01:29:08 UTC 2025","passed","Sat Feb 22 01:31:17 UTC 2025","","test_charm_relations","",""
"Build deploy, and integrate, a sharded cluster.","817794","test_build_and_deploy","tests.integration.upgrade","Sat Feb 22 01:29:08 UTC 2025","passed","Sat Feb 22 01:42:46 UTC 2025","","test_sharding_upgrade","",""
"Build and deploy one unit of MongoDB and one unit of TLS.","307528","test_build_and_deploy","tests.integration.tls_tests","Sat Feb 22 01:28:51 UTC 2025","passed","Sat Feb 22 01:33:59 UTC 2025","","test_tls","",""
"Tests that removing a shard application safely drains data.

    It is preferred that users remove-relations instead of removing shard applications. But we do
    support removing shard applications in a safe way.
    ","896921","test_unconventual_shard_removal","tests.integration.sharding_tests","Sat Feb 22 02:21:07 UTC 2025","passed","Sat Feb 22 02:36:04 UTC 2025","","test_sharding","",""
"Verifies that the dependencies in the charm version are accurate.","2171","test_consistency_between_workload_and_metadata","tests.integration","Sat Feb 22 01:38:00 UTC 2025","passed","Sat Feb 22 01:38:02 UTC 2025","","test_charm","",""
"Build and deploy one unit of MongoDB.","366016","test_build_and_deploy","tests.integration","Sat Feb 22 01:31:54 UTC 2025","passed","Sat Feb 22 01:38:00 UTC 2025","","test_charm","",""
"Test that log are being rotated.","674582","test_log_rotate","tests.integration","Sat Feb 22 01:39:49 UTC 2025","failed","Sat Feb 22 01:51:04 UTC 2025","","test_charm","",""
"Build and deploy one unit of MongoDB.","193183","test_build_and_deploy","tests.integration.ha_tests","Sat Feb 22 01:28:48 UTC 2025","passed","Sat Feb 22 01:32:01 UTC 2025","","test_ha","",""
